,id,date_unix,Liga,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_1st_half_over05,Valor10_do_gol_home,Valor10_do_gol_away,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,cv10_gols_feitos,coeficiente_pontos,CV_Odds,cv_pontos,cv_pontos_intervalos,cv_valordogol_home,cv_valordogol_away,mean55_gols_feitos_home_ft,mean55_gols_sofridos_home_ft,mean55_gols_feitos_away_ft,mean55_gols_sofridos_away_ft,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,md5_home_05ft,md5_home_05ht,md5_home_15ft,md10_home_05ft,md10_home_05ht,md10_home_15ft,md10_home_25ft,md10_away_25ft,md10_away_35ft,md10_home_35ft,md10_home_45ft,md10_away_45ft,md5_away_05ft,md5_away_05ht,md5_away_15ft,md10_away_05ft,md10_away_05ht,p_H,p_D,p_A,md10_away_15ft,cv_valordogol_away_intervalos,cv_valordogol_home_intervalos,valordogol_home_intervalos,valordogol_away_intervalos
142,2803430,2022-12-13 16:45:00,inglaterra_national,Notts County,Gateshead,1.25,5.25,10.0,1.04,1.25,1.77,2.3,5.0,10,3.75,1.97,1.55,1.14,2.1,1.67,1.33,0.37492821116303066,0.5170831675263529,1.0,-1.5,1.7186236497156786,0.2999999999999998,0.6502807192083314,2.163310782817161,1,0.5591520607168645,0.5766540309128387,1.8,0.2,1.0,2.0,2.0,0.4,1.0,1.9,80.0,80.0,60.0,90.0,70.0,70.0,50.0,60.0,40.0,30.0,0.0,0.0,100.0,60.0,100.0,100.0,70.0,0.8,0.19,0.1,90.0,1.0,1.0,1,4
184,2803432,2022-12-13 16:45:00,inglaterra_national,Southend United,Halifax Town,1.73,3.25,4.09,1.06,1.33,1.9,3.75,6.5,8,3.1,1.71,1.25,1.1,1.85,1.85,1.44,0.4522127596525623,0.3948352213209644,0.7,-0.7,1.4822921176324733,0.09999999999999987,0.3230561688522591,2.5137801769466313,3,0.6845178881642874,0.7899168151078282,2.0,1.0,0.8,1.2,1.5,0.7,0.8,1.4,100.0,100.0,100.0,90.0,90.0,70.0,40.0,20.0,20.0,20.0,0.0,10.0,100.0,60.0,60.0,100.0,80.0,0.58,0.31,0.24,60.0,2.0,2.0,2,2
217,2803435,2022-12-13 16:45:00,inglaterra_national,Wrexham,Chesterfield,1.43,3.85,5.92,1.04,1.22,1.8,2.8,4.5,10,4.0,1.8,1.42,1.17,2.05,1.7,1.36,0.45964765228554505,0.5495659245574275,1.8000000000000003,-0.4,3.1752460009366255,2.0,0.4914884592869348,1.1547005524282012,1,0.5247748977000479,0.5360785889921957,3.4,1.2,1.8,1.2,3.7,0.9,1.9,1.3,100.0,100.0,80.0,100.0,100.0,90.0,80.0,70.0,40.0,70.0,40.0,10.0,100.0,60.0,80.0,100.0,80.0,0.7,0.26,0.17,90.0,1.0,1.0,2,5
