id,date_unix,Liga,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_1st_half_over05,Valor10_do_gol_home,Valor10_do_gol_away,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,cv10_gols_feitos,coeficiente_pontos,CV_Odds,cv_pontos,cv_pontos_intervalos,cv_valordogol_home,cv_valordogol_away,mean55_gols_feitos_home_ft,mean55_gols_sofridos_home_ft,mean55_gols_feitos_away_ft,mean55_gols_sofridos_away_ft,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,md5_home_05ft,md5_home_05ht,md5_home_15ft,md10_home_05ft,md10_home_05ht,md10_home_15ft,md10_home_25ft,md10_away_25ft,md10_away_35ft,md10_home_35ft,md10_home_45ft,md10_away_45ft,md5_away_05ft,md5_away_05ht,md5_away_15ft,md10_away_05ft,md10_away_05ht,p_H,p_D,p_A,md10_away_15ft,cv_valordogol_away_intervalos,cv_valordogol_home_intervalos,valordogol_home_intervalos,valordogol_away_intervalos
2435365,2022-12-16 16:00:00,holanda_B,Eindhoven,VVV,1.96,3.6,3.3,1.05,1.25,1.7,2.75,4.8,15.0,3.9,2.05,1.4,1.15,1.74,2.1,1.37,0.5281579450345928,1.0907184079326002,0.10000000000000009,-1.1999999999999997,2.103180518635645,1.1,0.24141892952234995,2.61143256211096,3,0.6274173385957912,0.4278047190745536,2.2,1.4,1.8,1.6,2.1,1.1,2.0,2.3,100.0,80.0,100.0,100.0,80.0,80.0,70.0,80.0,50.0,40.0,20.0,50.0,100.0,80.0,100.0,100.0,90.0,0.51,0.28,0.3,100.0,1.0,2.0,6,6
2435370,2022-12-16 16:00:00,holanda_B,Roda JC,PEC Zwolle,2.71,3.48,2.3,1.02,1.2,1.65,2.65,4.75,15.0,4.5,2.25,1.47,1.18,1.53,2.4,1.29,0.4350752623849908,0.546585720732298,0.19999999999999973,0.7,3.7652461979534038,0.9999999999999999,0.17284414160624853,2.8982753492378874,6,0.6553932567750699,0.9168371729378377,2.4,1.6,2.2,1.0,2.4,1.8,2.2,1.1,100.0,80.0,80.0,100.0,70.0,80.0,70.0,70.0,40.0,70.0,50.0,30.0,100.0,80.0,80.0,100.0,90.0,0.37,0.29,0.43,90.0,3.0,2.0,5,4
2435371,2022-12-16 16:00:00,holanda_B,Telstar,MVV,1.72,4.02,3.83,1.03,1.2,1.6,2.38,4.0,11.0,4.33,2.25,1.53,1.22,1.57,2.3,1.3,0.3271476932788347,0.6819026991022187,-0.10000000000000009,0.0,1.6806738289546852,-0.19999999999999996,0.32675144751448715,2.746401883177248,5,1.041182923302942,0.7727003347835046,1.4,1.0,1.0,1.2,1.0,1.8,1.1,1.8,80.0,60.0,60.0,90.0,60.0,70.0,70.0,70.0,40.0,40.0,10.0,10.0,100.0,60.0,60.0,100.0,80.0,0.58,0.25,0.26,70.0,2.0,6.0,3,5
