id,date_unix,Liga,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_1st_half_over05,Valor10_do_gol_home,Valor10_do_gol_away,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,cv10_gols_feitos,coeficiente_pontos,CV_Odds,cv_pontos,cv_pontos_intervalos,cv_valordogol_home,cv_valordogol_away,mean55_gols_feitos_home_ft,mean55_gols_sofridos_home_ft,mean55_gols_feitos_away_ft,mean55_gols_sofridos_away_ft,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,md5_home_05ft,md5_home_05ht,md5_home_15ft,md10_home_05ft,md10_home_05ht,md10_home_15ft,md10_home_25ft,md10_away_25ft,md10_away_35ft,md10_home_35ft,md10_home_45ft,md10_away_45ft,md5_away_05ft,md5_away_05ht,md5_away_15ft,md10_away_05ft,md10_away_05ht,p_H,p_D,p_A,md10_away_15ft,cv_valordogol_away_intervalos,cv_valordogol_home_intervalos,valordogol_home_intervalos,valordogol_away_intervalos
2435367,2022-12-16 16:00:00,holanda_B,Helmond Sport,Den Bosch,2.5,3.6,2.6,1.02,1.18,1.55,2.4,4.2,12.0,5.0,2.45,1.57,1.22,1.47,2.6,1.26,0.4744243469259265,0.7302482978331823,-0.19999999999999996,0.10000000000000009,2.153930734740159,-0.7,0.17126051064082,2.8323500547852714,6,1.0118215652776803,1.0109689826205115,1.2,1.8,1.6,2.4,1.1,1.8,1.3,1.7,100.0,100.0,100.0,100.0,90.0,90.0,70.0,50.0,30.0,30.0,0.0,10.0,100.0,80.0,80.0,100.0,90.0,0.4,0.28,0.38,80.0,5.0,5.0,6,6
2435369,2022-12-16 16:00:00,holanda_B,NAC Breda,Almere City,2.68,3.5,2.32,1.03,1.22,1.72,2.85,5.0,15.0,4.2,2.1,1.42,1.16,1.57,2.3,1.3,0.2923378672028186,0.44221036899608324,0.19999999999999996,-0.3999999999999999,2.0491882326651263,-0.20000000000000018,0.17427655705544665,2.935386011386643,6,0.6667953289638238,0.9705699510052128,1.2,1.6,1.2,0.6,1.3,1.1,1.1,1.5,100.0,80.0,100.0,100.0,80.0,80.0,50.0,50.0,20.0,10.0,0.0,20.0,100.0,60.0,60.0,100.0,70.0,0.37,0.29,0.43,70.0,4.0,3.0,1,2
2435370,2022-12-16 16:00:00,holanda_B,Roda JC,PEC Zwolle,2.71,3.48,2.3,1.02,1.2,1.65,2.65,4.75,15.0,4.5,2.25,1.47,1.18,1.53,2.4,1.29,0.4350752623849908,0.546585720732298,0.19999999999999973,0.7,3.7652461979534038,0.9999999999999999,0.17284414160624853,2.8982753492378874,6,0.6553932567750699,0.9168371729378377,2.4,1.6,2.2,1.0,2.4,1.8,2.2,1.1,100.0,80.0,80.0,100.0,70.0,80.0,70.0,70.0,40.0,70.0,50.0,30.0,100.0,80.0,80.0,100.0,90.0,0.37,0.29,0.43,90.0,3.0,2.0,5,4
