id,date_unix,Liga,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_1st_half_over05,Valor10_do_gol_home,Valor10_do_gol_away,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,cv10_gols_feitos,coeficiente_pontos,CV_Odds,cv_pontos,cv_pontos_intervalos,cv_valordogol_home,cv_valordogol_away,mean55_gols_feitos_home_ft,mean55_gols_sofridos_home_ft,mean55_gols_feitos_away_ft,mean55_gols_sofridos_away_ft,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,md5_home_05ft,md5_home_05ht,md5_home_15ft,md10_home_05ft,md10_home_05ht,md10_home_15ft,md10_home_25ft,md10_away_25ft,md10_away_35ft,md10_home_35ft,md10_home_45ft,md10_away_45ft,md5_away_05ft,md5_away_05ht,md5_away_15ft,md10_away_05ft,md10_away_05ht,p_H,p_D,p_A,md10_away_15ft,cv_valordogol_away_intervalos,cv_valordogol_home_intervalos,valordogol_home_intervalos,valordogol_away_intervalos
2435365,2022-12-16 16:00:00,holanda_B,Eindhoven,VVV,1.96,3.6,3.3,1.05,1.25,1.7,2.75,4.8,15.0,3.9,2.05,1.4,1.15,1.74,2.1,1.37,0.5281579450345928,1.0907184079326002,0.10000000000000009,-1.1999999999999997,2.103180518635645,1.1,0.24141892952234995,2.61143256211096,3,0.6274173385957912,0.4278047190745536,2.2,1.4,1.8,1.6,2.1,1.1,2.0,2.3,100.0,80.0,100.0,100.0,80.0,80.0,70.0,80.0,50.0,40.0,20.0,50.0,100.0,80.0,100.0,100.0,90.0,0.51,0.28,0.3,100.0,1.0,2.0,6,6
2435366,2022-12-16 16:00:00,holanda_B,De Graafschap,Willem II,2.46,3.48,2.52,1.05,1.25,1.75,2.75,4.75,9.0,3.75,2.0,1.4,1.15,1.66,2.16,1.38,0.30636163513600895,0.50603114097776,-0.10000000000000009,-0.19999999999999996,1.7820744809596876,0.3999999999999999,0.16572087156805565,2.4545113353872727,2,0.5307034286520974,0.6922567745216728,2.0,0.8,1.8,1.4,1.5,1.1,1.6,1.3,100.0,80.0,100.0,100.0,90.0,100.0,40.0,70.0,50.0,10.0,10.0,10.0,80.0,80.0,80.0,80.0,80.0,0.41,0.29,0.4,80.0,1.0,1.0,2,3
2435368,2022-12-16 16:00:00,holanda_B,Heracles,Dordrecht,1.21,6.0,9.25,1.02,1.11,1.4,2.0,3.15,28.0,6.25,2.75,1.75,1.32,1.85,1.94,1.22,0.5999597216750031,0.6220864294863503,1.9,-0.10000000000000009,1.9205421954099768,0.6999999999999997,0.6018819768668988,2.4244128727957577,2,0.5505163565747752,0.45922195171513047,3.2,0.6,1.2,1.0,2.9,1.2,1.0,1.3,100.0,80.0,100.0,100.0,90.0,100.0,80.0,40.0,20.0,60.0,30.0,0.0,100.0,60.0,60.0,100.0,70.0,0.83,0.17,0.11,70.0,1.0,1.0,6,4
