id,date_unix,Liga,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_1st_half_over05,Valor10_do_gol_home,Valor10_do_gol_away,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,cv10_gols_feitos,coeficiente_pontos,CV_Odds,cv_pontos,cv_pontos_intervalos,cv_valordogol_home,cv_valordogol_away,mean55_gols_feitos_home_ft,mean55_gols_sofridos_home_ft,mean55_gols_feitos_away_ft,mean55_gols_sofridos_away_ft,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,md5_home_05ft,md5_home_05ht,md5_home_15ft,md10_home_05ft,md10_home_05ht,md10_home_15ft,md10_home_25ft,md10_away_25ft,md10_away_35ft,md10_home_35ft,md10_home_45ft,md10_away_45ft,md5_away_05ft,md5_away_05ht,md5_away_15ft,md10_away_05ft,md10_away_05ht,p_H,p_D,p_A,md10_away_15ft,cv_valordogol_away_intervalos,cv_valordogol_home_intervalos,valordogol_home_intervalos,valordogol_away_intervalos
2435364,2022-12-16 16:00:00,holanda_B,ADO Den Haag,Oss,1.63,4.2,4.75,1.02,1.2,1.62,2.6,4.75,17.0,4.5,2.3,1.5,1.18,1.66,2.2,1.28,0.4482295428970291,0.49940791977709437,0.4999999999999999,-0.6000000000000001,2.2742927253918794,-0.9000000000000001,0.38557998445746755,2.765698851827711,5,1.029404517408889,1.2354752827771092,1.2,1.8,0.8,2.4,1.4,1.4,0.9,2.0,100.0,60.0,60.0,100.0,70.0,70.0,50.0,80.0,10.0,50.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,0.61,0.24,0.21,90.0,6.0,5.0,5,3
2435367,2022-12-16 16:00:00,holanda_B,Helmond Sport,Den Bosch,2.5,3.6,2.6,1.02,1.18,1.55,2.4,4.2,12.0,5.0,2.45,1.57,1.22,1.47,2.6,1.26,0.4744243469259265,0.7302482978331823,-0.19999999999999996,0.10000000000000009,2.153930734740159,-0.7,0.17126051064082,2.8323500547852714,6,1.0118215652776803,1.0109689826205115,1.2,1.8,1.6,2.4,1.1,1.8,1.3,1.7,100.0,100.0,100.0,100.0,90.0,90.0,70.0,50.0,30.0,30.0,0.0,10.0,100.0,80.0,80.0,100.0,90.0,0.4,0.28,0.38,80.0,5.0,5.0,6,6
2435372,2022-12-16 16:00:00,holanda_B,Utrecht II,AZ II,2.85,3.6,2.3,1.02,1.22,1.7,2.75,5.0,15.0,4.2,2.15,1.44,1.16,1.6,2.25,1.29,0.3022793381406971,0.769741166236873,-0.5,-0.5,2.55342891680727,-0.8999999999999999,0.18267848415023755,2.6474090867178948,4,1.4296674705095993,1.1531653471734737,0.8,1.0,0.8,1.8,0.8,1.2,1.3,1.7,100.0,20.0,60.0,90.0,50.0,60.0,30.0,70.0,30.0,10.0,10.0,10.0,100.0,80.0,80.0,100.0,80.0,0.35,0.28,0.43,80.0,6.0,6.0,1,6
