,id,date_unix,Liga,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_1st_half_over05,Valor10_do_gol_home,Valor10_do_gol_away,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,cv10_gols_feitos,coeficiente_pontos,CV_Odds,cv_pontos,cv_pontos_intervalos,cv_valordogol_home,cv_valordogol_away,mean55_gols_feitos_home_ft,mean55_gols_sofridos_home_ft,mean55_gols_feitos_away_ft,mean55_gols_sofridos_away_ft,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,md5_home_05ft,md5_home_05ht,md5_home_15ft,md10_home_05ft,md10_home_05ht,md10_home_15ft,md10_home_25ft,md10_away_25ft,md10_away_35ft,md10_home_35ft,md10_home_45ft,md10_away_45ft,md5_away_05ft,md5_away_05ht,md5_away_15ft,md10_away_05ft,md10_away_05ht,p_H,p_D,p_A,md10_away_15ft,cv_valordogol_away_intervalos,cv_valordogol_home_intervalos,valordogol_home_intervalos,valordogol_away_intervalos
66,2803427,2022-12-13 16:45:00,inglaterra_national,Barnet,Yeovil Town,1.73,3.25,4.09,1.06,1.33,1.9,3.6,6.5,8,3.2,1.71,1.25,1.1,1.85,1.85,1.41,0.49014262935641567,0.28041852003675316,0.9,0.3999999999999999,2.0532122995527615,0.09999999999999987,0.3230561688522591,2.481933233607588,2,0.8824895602975316,1.1677342140325964,1.2,1.0,0.4,1.0,1.5,1.5,0.6,1.1,100.0,80.0,80.0,100.0,90.0,80.0,50.0,20.0,10.0,30.0,20.0,0.0,80.0,60.0,60.0,80.0,70.0,0.58,0.31,0.24,60.0,6.0,5.0,3,1
142,2803430,2022-12-13 16:45:00,inglaterra_national,Notts County,Gateshead,1.25,5.25,10.0,1.04,1.25,1.77,2.3,5.0,10,3.75,1.97,1.55,1.14,2.1,1.67,1.33,0.37492821116303066,0.5170831675263529,1.0,-1.5,1.7186236497156786,0.2999999999999998,0.6502807192083314,2.163310782817161,1,0.5591520607168645,0.5766540309128387,1.8,0.2,1.0,2.0,2.0,0.4,1.0,1.9,80.0,80.0,60.0,90.0,70.0,70.0,50.0,60.0,40.0,30.0,0.0,0.0,100.0,60.0,100.0,100.0,70.0,0.8,0.19,0.1,90.0,1.0,1.0,1,4
152,2803431,2022-12-13 16:45:00,inglaterra_national,Scunthorpe United,Woking,3.8,3.5,1.83,1.05,1.28,1.87,3.25,5.5,9,3.5,1.87,1.3,1.12,1.72,2.05,1.4,0.7008766840004663,0.6357027500922849,0.0,1.5,2.7877272786130978,-0.30000000000000004,0.2847712528123828,2.5995929137120157,4,0.8451307247631755,0.907223039942453,1.6,2.6,2.2,0.4,1.5,2.4,1.5,0.9,100.0,80.0,100.0,100.0,80.0,100.0,60.0,30.0,30.0,60.0,40.0,0.0,100.0,80.0,80.0,100.0,70.0,0.26,0.29,0.55,80.0,4.0,4.0,5,6
184,2803432,2022-12-13 16:45:00,inglaterra_national,Southend United,Halifax Town,1.73,3.25,4.09,1.06,1.33,1.9,3.75,6.5,8,3.1,1.71,1.25,1.1,1.85,1.85,1.44,0.4522127596525623,0.3948352213209644,0.7,-0.7,1.4822921176324733,0.09999999999999987,0.3230561688522591,2.5137801769466313,3,0.6845178881642874,0.7899168151078282,2.0,1.0,0.8,1.2,1.5,0.7,0.8,1.4,100.0,100.0,100.0,90.0,90.0,70.0,40.0,20.0,20.0,20.0,0.0,10.0,100.0,60.0,60.0,100.0,80.0,0.58,0.31,0.24,60.0,2.0,2.0,2,2
251,2803436,2022-12-13 16:45:00,inglaterra_national,York City,Solihull Moors,3.14,3.34,2.21,1.06,1.33,1.97,3.6,6.5,8,3.2,1.77,1.28,1.1,1.8,1.95,1.4,0.3864185408966222,0.43639232946907536,-0.6,0.10000000000000009,2.4085397150620897,-0.3999999999999999,0.169976034196159,2.5845412443477325,4,0.6293745097889856,1.2306914351594407,0.8,1.4,0.6,0.8,0.9,1.3,1.5,1.2,100.0,80.0,100.0,100.0,70.0,80.0,30.0,30.0,30.0,10.0,0.0,30.0,80.0,60.0,60.0,90.0,70.0,0.32,0.3,0.45,70.0,6.0,2.0,1,2
