id,date_unix,Liga,home_name,away_name,odds_ft_1,odds_ft_x,odds_ft_2,odds_ft_over05,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_ft_under05,odds_ft_under15,odds_ft_under25,odds_ft_under35,odds_ft_under45,odds_btts_yes,odds_btts_no,odds_1st_half_over05,Valor10_do_gol_home,Valor10_do_gol_away,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,cv10_gols_feitos,coeficiente_pontos,CV_Odds,cv_pontos,cv_pontos_intervalos,cv_valordogol_home,cv_valordogol_away,mean55_gols_feitos_home_ft,mean55_gols_sofridos_home_ft,mean55_gols_feitos_away_ft,mean55_gols_sofridos_away_ft,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,md5_home_05ft,md5_home_05ht,md5_home_15ft,md10_home_05ft,md10_home_05ht,md10_home_15ft,md10_home_25ft,md10_away_25ft,md10_away_35ft,md10_home_35ft,md10_home_45ft,md10_away_45ft,md5_away_05ft,md5_away_05ht,md5_away_15ft,md10_away_05ft,md10_away_05ht,p_H,p_D,p_A,md10_away_15ft,cv_valordogol_away_intervalos,cv_valordogol_home_intervalos,valordogol_home_intervalos,valordogol_away_intervalos
4407682,2022-12-16 09:45:00,Egito_A,Ismaily SC,Pyramids FC,5.6,3.35,1.6,1.06,1.4,2.25,4.2,8.75,8.75,2.8,1.6,1.2,1.07,2.1,1.67,1.45,0.34744563905075443,0.32554968815566243,-0.5999999999999999,0.30000000000000004,2.331922435861012,0.8,0.46556594086228675,2.730774739581862,4,0.9998467649653353,0.922864875113731,0.6,1.2,1.6,0.8,1.1,1.0,1.7,0.7,100.0,80.0,40.0,90.0,70.0,50.0,30.0,40.0,20.0,30.0,10.0,0.0,100.0,80.0,80.0,100.0,70.0,0.18,0.3,0.62,80.0,4.0,4.0,3,1
2708264,2022-12-16 15:00:00,romenia A,Voluntari,SSC Farul,3.55,2.95,2.04,1.1,1.5,2.41,4.97,9.8,7.25,2.5,1.5,1.16,1.04,2.16,1.66,1.5,0.3235228441509229,0.6630475954033204,-0.7,-0.7,2.4735634678444747,0.4999999999999999,0.21806913267369343,2.6270597057063463,3,1.404457989220266,0.7314885408907614,1.4,1.0,1.0,1.4,1.0,0.7,1.7,1.4,100.0,100.0,60.0,80.0,60.0,40.0,40.0,50.0,40.0,10.0,0.0,10.0,100.0,80.0,80.0,100.0,80.0,0.28,0.34,0.49,90.0,2.0,6.0,2,5
2435367,2022-12-16 16:00:00,holanda_B,Helmond Sport,Den Bosch,2.5,3.6,2.6,1.02,1.18,1.55,2.4,4.2,12.0,5.0,2.45,1.57,1.22,1.47,2.6,1.26,0.4744243469259265,0.7302482978331823,-0.19999999999999996,0.10000000000000009,2.153930734740159,-0.7,0.17126051064082,2.8323500547852714,6,1.0118215652776803,1.0109689826205115,1.2,1.8,1.6,2.4,1.1,1.8,1.3,1.7,100.0,100.0,100.0,100.0,90.0,90.0,70.0,50.0,30.0,30.0,0.0,10.0,100.0,80.0,80.0,100.0,90.0,0.4,0.28,0.38,80.0,5.0,5.0,6,6
2435368,2022-12-16 16:00:00,holanda_B,Heracles,Dordrecht,1.21,6.0,9.25,1.02,1.11,1.4,2.0,3.15,28.0,6.25,2.75,1.75,1.32,1.85,1.94,1.22,0.5999597216750031,0.6220864294863503,1.9,-0.10000000000000009,1.9205421954099768,0.6999999999999997,0.6018819768668988,2.4244128727957577,2,0.5505163565747752,0.45922195171513047,3.2,0.6,1.2,1.0,2.9,1.2,1.0,1.3,100.0,80.0,100.0,100.0,90.0,100.0,80.0,40.0,20.0,60.0,30.0,0.0,100.0,60.0,60.0,100.0,70.0,0.83,0.17,0.11,70.0,1.0,1.0,6,4
2435369,2022-12-16 16:00:00,holanda_B,NAC Breda,Almere City,2.68,3.5,2.32,1.03,1.22,1.72,2.85,5.0,15.0,4.2,2.1,1.42,1.16,1.57,2.3,1.3,0.2923378672028186,0.44221036899608324,0.19999999999999996,-0.3999999999999999,2.0491882326651263,-0.20000000000000018,0.17427655705544665,2.935386011386643,6,0.6667953289638238,0.9705699510052128,1.2,1.6,1.2,0.6,1.3,1.1,1.1,1.5,100.0,80.0,100.0,100.0,80.0,80.0,50.0,50.0,20.0,10.0,0.0,20.0,100.0,60.0,60.0,100.0,70.0,0.37,0.29,0.43,70.0,4.0,3.0,1,2
